period_type,period,return,n_trades,win_rate,pnl
year,2022,-0.0955,15,0.0667,-44271291.0
year,2023,0.0327,30,0.2333,-2517651.0
year,2024,0.0178,65,0.3077,18394983.0
year,2025,0.2208,87,0.3678,104123199.0
year,2026,-0.1067,30,0.1667,-57793115.0
quarter,2022Q2,-0.0338,3,0.0,-16906866.0
quarter,2022Q3,-0.0185,8,0.125,-8955132.0
quarter,2022Q4,-0.0462,4,0.0,-18409292.0
quarter,2023Q1,0.0536,4,0.25,3030532.0
quarter,2023Q2,0.0161,2,1.0,13670679.0
quarter,2023Q3,-0.0143,14,0.2143,2688021.0
quarter,2023Q4,-0.0214,10,0.1,-21906883.0
quarter,2024Q1,0.0849,15,0.6667,45278266.0
quarter,2024Q2,-0.0177,16,0.25,-2281222.0
quarter,2024Q3,-0.012,14,0.2143,-9861180.0
quarter,2024Q4,-0.0333,20,0.15,-14740881.0
quarter,2025Q1,-0.0194,23,0.3043,-2809372.0
quarter,2025Q2,0.1252,16,0.4375,52092152.0
quarter,2025Q3,0.1203,22,0.5455,63957738.0
quarter,2025Q4,-0.0124,26,0.2308,-9117319.0
quarter,2026Q1,-0.1284,25,0.12,-71428814.0
quarter,2026Q2,0.0249,5,0.4,13635699.0
