symbol,total_return,sharpe,sortino,mdd,win_rate,profit_factor,trades,trades_per_year,avg_win,avg_loss,buy_hold,alpha
ACB,0.0456,0.403,0.22,0.0374,0.4091,1.452,22,4.4,7311407.0,-3485161.0,0.5277,-0.4821
BCM,0.0004,0.019,0.008,0.0294,0.2857,0.979,7,2.6,12251771.0,-5005110.0,-0.217,0.2173
BID,0.0291,0.188,0.11,0.07,0.3333,1.194,21,4.2,10894936.0,-4563429.0,0.4382,-0.4091
BVH,-0.095,-1.1,-0.5,0.095,0.125,0.339,16,6.0,12556280.0,-5295237.0,0.7319,-0.8269
CTG,0.0015,0.025,0.012,0.0716,0.3333,0.979,21,4.2,8576674.0,-4381809.0,0.9334,-0.9319
FPT,0.0306,0.255,0.137,0.0656,0.375,1.22,24,4.9,7849642.0,-3859639.0,0.3109,-0.2803
GAS,-0.0116,-0.062,-0.025,0.1025,0.2105,0.869,19,3.8,12653346.0,-3884106.0,0.0453,-0.0569
GVR,0.0004,0.022,0.009,0.0676,0.2727,0.98,11,4.1,14719281.0,-5630096.0,0.0342,-0.0338
HDB,-0.0437,-0.269,-0.139,0.0583,0.2593,0.729,27,5.5,9396104.0,-4513863.0,1.4783,-1.522
HPG,-0.066,-0.612,-0.28,0.0879,0.1923,0.551,26,5.3,8798766.0,-3804545.0,0.092,-0.158
MBB,-0.009,-0.058,-0.027,0.0543,0.3043,0.884,23,4.6,7359351.0,-3644244.0,0.928,-0.9371
MSN,-0.0432,-0.651,-0.213,0.0582,0.1818,0.458,11,4.1,9571437.0,-4646468.0,0.0679,-0.111
MWG,-0.0323,-0.38,-0.204,0.0432,0.1818,0.552,11,4.1,10622855.0,-4278268.0,0.3767,-0.409
NVL,0.1457,1.616,0.734,0.0146,0.6667,10.239,6,2.2,19889448.0,-3885197.0,0.4906,-0.3449
PDR,0.0297,0.202,0.072,0.0524,0.3333,1.341,9,1.8,18281964.0,-6818156.0,-0.7362,0.7659
PLX,-0.0755,-0.853,-0.264,0.1004,0.1667,0.309,12,4.5,8687877.0,-5631050.0,-0.1055,0.03
PNJ,0.0408,0.59,0.27,0.0302,0.4,1.813,10,3.7,10824891.0,-3979822.0,0.1925,-0.1517
POW,-0.0447,-0.262,-0.12,0.057,0.2,0.67,20,4.0,12391766.0,-4624214.0,0.1761,-0.2208
SAB,-0.1037,-1.018,-0.272,0.1206,0.0625,0.15,16,3.2,9441271.0,-4189610.0,-0.3552,0.2515
SSI,0.123,0.837,0.406,0.0257,0.5385,2.924,13,2.6,13053271.0,-5208830.0,0.0057,0.1173
STB,0.1027,1.064,0.645,0.0291,0.5,2.314,16,6.0,10935532.0,-4724822.0,1.2019,-1.0992
TCB,0.0968,0.648,0.356,0.0388,0.4444,2.281,18,3.6,10361302.0,-3633306.0,0.5928,-0.4959
TPB,0.0234,0.186,0.087,0.0519,0.3333,1.222,15,3.0,11189054.0,-4578891.0,-0.1027,0.126
VCB,-0.0476,-0.387,-0.207,0.0826,0.2,0.562,20,4.0,8274712.0,-3681859.0,0.2823,-0.33
VHM,0.1261,0.923,0.489,0.042,0.4706,1.935,17,6.3,15736782.0,-7228912.0,2.6925,-2.5664
VIC,0.1986,1.041,0.353,0.0416,0.4706,2.509,17,3.4,20269652.0,-7181540.0,3.8316,-3.633
VIB,-0.0166,-0.175,-0.071,0.0559,0.25,0.781,16,3.2,8808756.0,-3758557.0,0.0657,-0.0823
VJC,0.0752,0.877,0.398,0.037,0.5714,2.62,7,2.6,14905050.0,-7584713.0,0.6739,-0.5988
VNM,0.0069,0.108,0.045,0.0306,0.375,1.122,8,3.0,8031430.0,-4295581.0,-0.0372,0.044
VPB,-0.0073,-0.112,-0.033,0.037,0.2727,0.857,11,4.1,9529236.0,-4167670.0,0.5593,-0.5666
VRE,0.0761,0.839,0.322,0.0327,0.5,2.306,8,3.0,16421936.0,-7120537.0,0.5326,-0.4565
